timedate,yTi,Ta,Ph,Gv
10/10/1983 15:20,24.5019,11.8264,1.5,0.007
10/10/1983 15:30,24.5511,11.9301,1.5,0.0053
10/10/1983 15:40,24.6569,12.0966,1.5,0.0049
10/10/1983 15:50,24.7701,12.2795,1.5,0.0051
10/10/1983 16:00,24.6643,12.5938,1.5,0.0011
10/10/1983 16:10,24.6249,12.7291,1.5,0.001
10/10/1983 16:20,24.7529,12.7253,1.5,7.00E-04
10/10/1983 16:30,24.8242,12.6926,1.5,1.00E-04
10/10/1983 16:40,24.8562,12.674,1.5,0
10/10/1983 16:50,24.8956,12.694,1.5,6.00E-04
10/10/1983 17:00,24.9325,12.7004,1.5,6.00E-04
10/10/1983 17:10,24.962,12.6781,1.5,-1.00E-04
10/10/1983 17:20,25.0112,12.6779,1.5,-2.00E-04
10/10/1983 17:30,25.0259,12.6342,1.5,-2.00E-04
10/10/1983 17:40,25.0776,12.6129,1.5,-1.00E-04
10/10/1983 17:50,25.0849,12.5505,1.5,-2.00E-04
10/10/1983 18:00,25.1341,12.3404,1.5,0
10/10/1983 18:10,25.1587,12.1071,1.5,-1.00E-04
10/10/1983 18:20,25.1661,12.0212,1.5,-4.00E-04
10/10/1983 18:30,25.2226,11.9465,1.5,-4.00E-04
10/10/1983 18:40,25.2177,11.8654,1.5,-2.00E-04
10/10/1983 18:50,25.2693,11.8363,1.5,0
10/10/1983 19:00,25.2964,11.8416,1.5,0
10/10/1983 19:10,25.3136,11.8401,1.5,-3.00E-04
10/10/1983 19:20,25.348,11.8794,1.5,0
10/10/1983 19:30,25.375,11.8634,1.5,-3.00E-04
10/10/1983 19:40,25.4168,11.819,1.5,4.00E-04
10/10/1983 19:50,25.4364,11.8175,1.5,9.00E-04
10/10/1983 20:00,25.4536,11.7763,1.5,8.00E-04
10/10/1983 20:10,25.4856,11.7797,1.5,7.00E-04
10/10/1983 20:20,25.52,11.7812,1.5,6.00E-04
10/10/1983 20:30,25.5445,11.7715,1.5,5.00E-04
10/10/1983 20:40,25.5544,11.7459,1.5,3.00E-04
10/10/1983 20:50,25.6158,11.7288,1.5,1.00E-04
10/10/1983 21:00,25.6182,11.6712,1.5,0
10/10/1983 21:10,25.66,11.5974,1.5,0
10/10/1983 21:20,25.6796,11.4982,1.5,0
10/10/1983 21:30,25.6894,11.3342,1.5,0
10/10/1983 21:40,25.7189,11.201,1.5,-1.00E-04
10/10/1983 21:50,25.7459,11.0882,1.5,-2.00E-04
10/10/1983 22:00,25.7631,10.9359,1.5,-1.00E-04
10/10/1983 22:10,25.6256,10.7086,0,-3.00E-04
10/10/1983 22:20,25.461,10.3858,0,-8.00E-04
10/10/1983 22:30,25.3725,10.0958,0,-0.0011
10/10/1983 22:40,25.3209,9.8192,0,-0.0011
10/10/1983 22:50,25.2742,9.6819,0,-0.0011
10/10/1983 23:00,25.2128,9.5527,0,-0.0012
10/10/1983 23:10,25.3529,9.4139,1.5,-0.0013
10/10/1983 23:20,25.5126,9.2373,1.5,-0.0013
10/10/1983 23:30,25.5912,9.1836,1.5,-0.0013
10/10/1983 23:40,25.6158,9.0848,1.5,-0.0014
